time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,Volume,RSI,RSI-based MA,Histogram,MACD,Signal,ATR
2025-05-05T18:54:00-04:00,5667.25,5667.75,5667.25,5667.5,5669.49726,5671.213915,5667.780606,5672.930569,5666.063951,5674.647223,5664.347297,70,40.15244827,45.70473957,-0.258848274,-2.627117185,-2.368268911,1.552862891
2025-05-05T18:56:00-04:00,5667.25,5667.75,5667,5667.25,5669.470671,5671.193321,5667.748021,5672.915971,5666.025372,5674.63862,5664.302722,112,39.15411379,44.90526055,-0.250392728,-2.681259821,-2.430867093,1.495515542
2025-05-05T18:58:00-04:00,5667.5,5668,5667.25,5667.5,5669.446752,5671.171422,5667.722083,5672.896091,5665.997413,5674.620761,5664.272744,117,40.74084789,44.42180414,-0.199659994,-2.680442086,-2.480782092,1.442264432
2025-05-05T19:00:00-04:00,5667.5,5668.5,5667,5668,5669.390745,5671.110761,5667.670728,5672.830778,5665.950712,5674.550794,5664.230696,332,43.89229567,43.88274117,-0.100406695,-2.60629046,-2.505883766,1.446388401
2025-05-05T19:02:00-04:00,5668.25,5668.5,5668,5668,5669.37858,5671.09433,5667.66283,5672.81008,5665.94708,5674.52583,5664.23133,96,43.89229567,43.55319363,-0.019519458,-2.530283088,-2.51076363,1.378789229
2025-05-05T19:04:00-04:00,5668.5,5669,5667,5667.75,5669.342708,5671.052304,5667.633111,5672.7619,5665.923515,5674.471496,5664.213919,243,42.57921414,42.85148379,0.023104321,-2.481883229,-2.50498755,1.423161427
2025-05-05T19:06:00-04:00,5668,5670,5668,5669.5,5669.33812,5671.025524,5667.650715,5672.712928,5665.963311,5674.400332,5664.275907,265,53.14579925,42.97927613,0.222423193,-2.226958559,-2.449381752,1.482221325
2025-05-05T19:08:00-04:00,5669.5,5670,5668.75,5669,5669.335791,5671.00081,5667.670772,5672.665828,5666.005753,5674.330847,5664.340735,276,50.29785411,42.98087138,0.308632047,-2.063591693,-2.37222374,1.465634088
2025-05-05T19:10:00-04:00,5668.75,5669.5,5668.75,5669.25,5669.33425,5670.991747,5667.676754,5672.649244,5666.019257,5674.30674,5664.36176,96,51.69177599,43.31072928,0.386041815,-1.889671471,-2.275713286,1.414517367
2025-05-05T19:12:00-04:00,5669,5669.5,5668.25,5669.25,5669.328853,5670.973452,5667.684254,5672.61805,5666.039655,5674.262649,5664.395056,173,51.69177599,43.92229859,0.431067763,-1.736878582,-2.167946346,1.402766127
2025-05-05T19:14:00-04:00,5669.5,5669.5,5669,5669,5669.326349,5670.958325,5667.694373,5672.5903,5666.062397,5674.222276,5664.430421,168,50.06340613,44.32794763,0.429684234,-1.630841053,-2.060525287,1.338282832
2025-05-05T19:16:00-04:00,5669.25,5669.75,5669,5669.5,5669.32722,5670.951328,5667.703112,5672.575437,5666.079003,5674.199545,5664.454895,106,53.23629728,45.41226192,0.466435281,-1.477481186,-1.943916467,1.29626263
